Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest,Date
BANKNIFTYWK35200CE,07-03-2022 09:15:00,80.0,118.95,77.95,93.1,96875,271825,2022-03-07
BANKNIFTYWK35200CE,07-03-2022 09:16:00,94.65,94.65,86.05,87.6,77150,271825,2022-03-07
BANKNIFTYWK35200CE,07-03-2022 09:17:00,88.5,88.5,76.7,77.0,146650,286975,2022-03-07
BANKNIFTYWK35200CE,07-03-2022 09:18:00,77.4,77.75,75.0,76.75,84375,286975,2022-03-07
BANKNIFTYWK35200CE,07-03-2022 09:19:00,76.75,76.95,72.05,74.1,54275,286975,2022-03-07
BANKNIFTYWK35200CE,07-03-2022 09:20:00,73.9,77.7,70.5,77.7,59650,255175,2022-03-07
BANKNIFTYWK35200CE,07-03-2022 09:21:00,77.2,78.1,74.05,74.05,38400,255175,2022-03-07
BANKNIFTYWK35200CE,07-03-2022 09:22:00,74.05,74.8,70.75,71.3,31250,255175,2022-03-07
BANKNIFTYWK35200CE,07-03-2022 09:23:00,71.3,73.55,71.1,71.5,32925,278450,2022-03-07
BANKNIFTYWK35200CE,07-03-2022 09:24:00,71.8,74.2,70.75,72.0,41250,278450,2022-03-07
BANKNIFTYWK35200CE,07-03-2022 09:25:00,71.8,74.75,71.15,73.4,25825,278450,2022-03-07
BANKNIFTYWK35200CE,07-03-2022 09:26:00,73.6,75.25,73.4,73.8,36125,281950,2022-03-07
BANKNIFTYWK35200CE,07-03-2022 09:27:00,73.8,74.3,71.45,72.25,20175,281950,2022-03-07
BANKNIFTYWK35200CE,07-03-2022 09:28:00,72.25,72.6,69.1,70.5,23900,281950,2022-03-07
BANKNIFTYWK35200CE,07-03-2022 09:29:00,70.45,70.85,68.6,68.6,22675,295625,2022-03-07
BANKNIFTYWK35200CE,07-03-2022 09:30:00,69.1,70.85,68.0,70.6,23525,295625,2022-03-07
BANKNIFTYWK35200CE,07-03-2022 09:31:00,70.2,72.85,66.65,71.55,33075,295625,2022-03-07
BANKNIFTYWK35200CE,07-03-2022 09:32:00,71.55,72.0,68.7,70.0,20825,305300,2022-03-07
BANKNIFTYWK35200CE,07-03-2022 09:33:00,69.85,72.65,68.3,68.7,16675,305300,2022-03-07
