Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest,Date
NIFTY17500PE,04-11-2022 09:15:00,75.0,75.05,72.55,74.25,25900,2530000,2022-11-04
NIFTY17500PE,04-11-2022 09:16:00,73.6,74.4,70.0,70.0,13050,2530000,2022-11-04
NIFTY17500PE,04-11-2022 09:17:00,69.45,70.0,68.55,69.0,42600,2529050,2022-11-04
NIFTY17500PE,04-11-2022 09:18:00,69.2,69.75,68.55,69.0,9900,2529050,2022-11-04
NIFTY17500PE,04-11-2022 09:19:00,69.05,69.6,67.85,68.65,73600,2529050,2022-11-04
NIFTY17500PE,04-11-2022 09:20:00,68.65,69.0,67.55,68.9,11250,2493350,2022-11-04
NIFTY17500PE,04-11-2022 09:21:00,68.9,70.25,68.7,70.2,54750,2493350,2022-11-04
NIFTY17500PE,04-11-2022 09:22:00,70.5,71.9,69.25,70.5,33550,2493350,2022-11-04
NIFTY17500PE,04-11-2022 09:23:00,70.5,71.7,70.35,71.3,45950,2458300,2022-11-04
NIFTY17500PE,04-11-2022 09:24:00,71.3,72.45,70.65,71.0,28800,2458300,2022-11-04
NIFTY17500PE,04-11-2022 09:25:00,71.0,71.65,70.0,71.25,27750,2458300,2022-11-04
NIFTY17500PE,04-11-2022 09:26:00,71.25,71.95,70.45,71.0,23650,2423900,2022-11-04
NIFTY17500PE,04-11-2022 09:27:00,71.0,71.0,68.55,68.7,35600,2423900,2022-11-04
NIFTY17500PE,04-11-2022 09:28:00,68.7,69.4,68.0,68.0,9800,2423900,2022-11-04
NIFTY17500PE,04-11-2022 09:29:00,68.0,68.4,66.1,66.45,8700,2396350,2022-11-04
NIFTY17500PE,04-11-2022 09:30:00,66.15,66.4,64.75,65.45,15300,2396350,2022-11-04
NIFTY17500PE,04-11-2022 09:31:00,65.45,66.3,65.0,65.9,23200,2396350,2022-11-04
NIFTY17500PE,04-11-2022 09:32:00,65.9,68.5,65.9,68.05,7950,2357950,2022-11-04
NIFTY17500PE,04-11-2022 09:33:00,68.15,68.25,66.9,67.3,7750,2357950,2022-11-04
NIFTY17500PE,04-11-2022 09:34:00,67.3,68.4,66.95,67.8,10600,2357950,2022-11-04
NIFTY17500PE,04-11-2022 09:35:00,67.8,68.8,67.8,68.5,5550,2358200,2022-11-04
NIFTY17500PE,04-11-2022 09:36:00,68.5,69.25,68.45,69.25,2250,2358200,2022-11-04
NIFTY17500PE,04-11-2022 09:37:00,69.25,70.05,68.65,69.75,8900,2358200,2022-11-04
