Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest,Date
NIFTY17900CE,03-08-2022 09:15:00,73.4,81.45,72.1,80.75,9600,254400,2022-08-03
NIFTY17900CE,03-08-2022 09:16:00,81.35,87.5,81.35,87.25,22650,254400,2022-08-03
NIFTY17900CE,03-08-2022 09:17:00,87.7,88.25,85.8,85.8,8250,249750,2022-08-03
NIFTY17900CE,03-08-2022 09:18:00,86.0,86.0,83.65,85.1,4150,249750,2022-08-03
NIFTY17900CE,03-08-2022 09:19:00,84.9,86.3,84.35,84.6,3700,249750,2022-08-03
NIFTY17900CE,03-08-2022 09:20:00,84.15,86.9,83.2,86.7,2350,253250,2022-08-03
NIFTY17900CE,03-08-2022 09:21:00,86.7,87.9,85.35,85.35,4600,253250,2022-08-03
NIFTY17900CE,03-08-2022 09:22:00,86.0,86.65,85.2,85.9,1500,253250,2022-08-03
NIFTY17900CE,03-08-2022 09:23:00,85.95,88.0,85.2,88.0,2250,254800,2022-08-03
NIFTY17900CE,03-08-2022 09:24:00,87.55,89.35,87.55,88.4,2650,254800,2022-08-03
NIFTY17900CE,03-08-2022 09:25:00,87.6,89.3,87.6,88.15,3300,254800,2022-08-03
NIFTY17900CE,03-08-2022 09:26:00,88.05,88.05,86.4,86.9,4700,254750,2022-08-03
NIFTY17900CE,03-08-2022 09:27:00,86.85,86.85,85.85,86.5,1450,254750,2022-08-03
NIFTY17900CE,03-08-2022 09:28:00,85.35,86.1,84.9,85.2,1500,254750,2022-08-03
NIFTY17900CE,03-08-2022 09:29:00,84.8,84.8,83.2,83.2,3000,255650,2022-08-03
NIFTY17900CE,03-08-2022 09:30:00,83.0,83.2,76.2,78.5,11250,255650,2022-08-03
NIFTY17900CE,03-08-2022 09:31:00,78.35,78.35,75.95,77.4,12100,255650,2022-08-03
NIFTY17900CE,03-08-2022 09:32:00,77.5,80.35,77.5,78.65,5750,263200,2022-08-03
NIFTY17900CE,03-08-2022 09:33:00,79.3,80.7,79.3,79.6,5150,263200,2022-08-03
NIFTY17900CE,03-08-2022 09:34:00,78.55,79.4,77.85,79.0,5600,263200,2022-08-03
NIFTY17900CE,03-08-2022 09:35:00,78.55,80.0,77.55,77.9,1050,264000,2022-08-03
NIFTY17900CE,03-08-2022 09:36:00,78.0,79.0,77.4,78.65,1900,264000,2022-08-03
NIFTY17900CE,03-08-2022 09:37:00,78.3,78.9,77.45,77.65,1950,264000,2022-08-03
NIFTY17900CE,03-08-2022 09:38:00,77.5,77.5,74.95,75.05,4050,264600,2022-08-03
NIFTY17900CE,03-08-2022 09:39:00,74.8,76.25,74.1,76.25,3150,264600,2022-08-03
NIFTY17900CE,03-08-2022 09:40:00,76.4,77.5,75.75,75.75,4550,264600,2022-08-03
NIFTY17900CE,03-08-2022 09:41:00,75.7,77.05,74.55,75.5,4950,266250,2022-08-03
NIFTY17900CE,03-08-2022 09:42:00,74.95,74.95,73.25,74.35,3900,266250,2022-08-03
NIFTY17900CE,03-08-2022 09:43:00,73.95,74.0,72.35,72.7,3450,266250,2022-08-03
NIFTY17900CE,03-08-2022 09:44:00,72.65,72.65,71.0,71.55,6900,268950,2022-08-03
NIFTY17900CE,03-08-2022 09:45:00,71.55,72.8,70.0,72.8,4900,268950,2022-08-03
NIFTY17900CE,03-08-2022 09:46:00,73.1,74.0,72.5,74.0,6200,268950,2022-08-03
NIFTY17900CE,03-08-2022 09:47:00,73.5,73.6,73.0,73.6,750,268850,2022-08-03
NIFTY17900CE,03-08-2022 09:48:00,73.6,74.85,73.6,74.25,2050,268850,2022-08-03
NIFTY17900CE,03-08-2022 09:49:00,74.65,75.6,74.65,75.6,1450,268850,2022-08-03
NIFTY17900CE,03-08-2022 09:50:00,75.6,77.5,75.25,77.5,2450,268100,2022-08-03
NIFTY17900CE,03-08-2022 09:51:00,77.7,79.35,77.2,79.35,1750,268100,2022-08-03
NIFTY17900CE,03-08-2022 09:52:00,80.0,80.3,78.7,79.05,4250,268100,2022-08-03
NIFTY17900CE,03-08-2022 09:53:00,79.2,80.6,76.15,76.6,2350,267900,2022-08-03
NIFTY17900CE,03-08-2022 09:54:00,76.75,76.75,74.65,75.1,1650,267900,2022-08-03
NIFTY17900CE,03-08-2022 09:55:00,74.55,77.0,74.55,76.05,400,267900,2022-08-03
NIFTY17900CE,03-08-2022 09:56:00,76.05,78.6,76.05,78.6,1450,267800,2022-08-03
NIFTY17900CE,03-08-2022 09:57:00,78.95,78.95,76.6,77.7,1300,267800,2022-08-03
NIFTY17900CE,03-08-2022 09:58:00,77.7,78.25,77.1,77.25,1500,267800,2022-08-03
NIFTY17900CE,03-08-2022 09:59:00,77.3,78.8,77.3,78.6,1100,268950,2022-08-03
NIFTY17900CE,03-08-2022 10:00:00,78.65,79.25,77.7,79.2,4050,268950,2022-08-03
NIFTY17900CE,03-08-2022 10:01:00,79.2,79.8,78.05,78.05,1750,268950,2022-08-03
NIFTY17900CE,03-08-2022 10:02:00,78.05,79.8,78.0,79.8,3850,267900,2022-08-03
NIFTY17900CE,03-08-2022 10:03:00,79.0,79.0,77.85,77.9,6000,267900,2022-08-03
NIFTY17900CE,03-08-2022 10:04:00,78.15,78.75,76.5,76.7,3800,267900,2022-08-03
NIFTY17900CE,03-08-2022 10:05:00,76.35,76.95,75.05,76.85,5450,270200,2022-08-03
NIFTY17900CE,03-08-2022 10:06:00,76.85,77.3,76.05,76.05,3900,270200,2022-08-03
NIFTY17900CE,03-08-2022 10:07:00,76.05,78.25,76.0,78.0,4800,270200,2022-08-03
NIFTY17900CE,03-08-2022 10:08:00,78.35,78.95,77.35,77.35,3150,275100,2022-08-03
NIFTY17900CE,03-08-2022 10:09:00,77.05,78.0,76.45,77.8,4650,275100,2022-08-03
NIFTY17900CE,03-08-2022 10:10:00,77.8,78.15,76.3,76.3,2450,275100,2022-08-03
NIFTY17900CE,03-08-2022 10:11:00,76.3,76.6,75.6,75.85,2500,277450,2022-08-03
NIFTY17900CE,03-08-2022 10:12:00,75.9,77.4,75.9,76.7,1150,277450,2022-08-03
NIFTY17900CE,03-08-2022 10:13:00,76.6,76.6,75.6,75.8,1200,277450,2022-08-03
NIFTY17900CE,03-08-2022 10:14:00,76.0,77.2,75.3,77.0,1100,276950,2022-08-03
NIFTY17900CE,03-08-2022 10:15:00,76.2,76.2,75.3,75.6,1050,276950,2022-08-03
NIFTY17900CE,03-08-2022 10:16:00,76.05,76.65,75.0,75.0,2450,276950,2022-08-03
NIFTY17900CE,03-08-2022 10:17:00,74.95,75.55,74.55,74.55,700,276900,2022-08-03
NIFTY17900CE,03-08-2022 10:18:00,74.95,75.25,74.2,75.15,1400,276900,2022-08-03
NIFTY17900CE,03-08-2022 10:19:00,75.3,76.55,75.2,76.55,1250,276900,2022-08-03
NIFTY17900CE,03-08-2022 10:20:00,75.9,75.9,75.1,75.5,1350,277350,2022-08-03
NIFTY17900CE,03-08-2022 10:21:00,74.55,74.75,74.2,74.2,1800,277350,2022-08-03
NIFTY17900CE,03-08-2022 10:22:00,73.8,74.05,73.45,73.6,700,277350,2022-08-03
NIFTY17900CE,03-08-2022 10:23:00,73.05,73.2,73.05,73.05,500,277500,2022-08-03
NIFTY17900CE,03-08-2022 10:24:00,73.9,74.3,73.55,74.1,1350,277500,2022-08-03
NIFTY17900CE,03-08-2022 10:25:00,74.1,74.6,73.5,73.75,11650,277500,2022-08-03
NIFTY17900CE,03-08-2022 10:26:00,74.5,74.5,73.25,73.25,700,285900,2022-08-03
NIFTY17900CE,03-08-2022 10:27:00,73.25,73.3,72.85,73.15,1650,285900,2022-08-03
NIFTY17900CE,03-08-2022 10:28:00,73.15,73.2,71.7,71.85,2450,285900,2022-08-03
NIFTY17900CE,03-08-2022 10:29:00,71.85,71.9,69.6,70.0,6550,285400,2022-08-03
NIFTY17900CE,03-08-2022 10:30:00,69.45,71.45,69.2,70.9,5300,285400,2022-08-03
NIFTY17900CE,03-08-2022 10:31:00,70.6,71.65,70.4,70.5,3450,285400,2022-08-03
NIFTY17900CE,03-08-2022 10:32:00,70.5,70.65,69.75,69.75,850,283950,2022-08-03
NIFTY17900CE,03-08-2022 10:33:00,70.1,70.1,69.35,69.95,2650,283950,2022-08-03
NIFTY17900CE,03-08-2022 10:34:00,70.65,71.25,70.35,70.9,1900,283950,2022-08-03
NIFTY17900CE,03-08-2022 10:35:00,70.95,72.3,70.35,72.3,5850,283750,2022-08-03
NIFTY17900CE,03-08-2022 10:36:00,72.3,72.6,71.65,72.1,11900,283750,2022-08-03
NIFTY17900CE,03-08-2022 10:37:00,72.0,72.0,70.25,70.9,4300,283750,2022-08-03
NIFTY17900CE,03-08-2022 10:38:00,70.9,72.4,70.7,71.35,2350,293400,2022-08-03
NIFTY17900CE,03-08-2022 10:39:00,71.75,72.55,71.4,71.4,1150,293400,2022-08-03
NIFTY17900CE,03-08-2022 10:40:00,71.35,71.45,70.1,70.2,1700,293400,2022-08-03
NIFTY17900CE,03-08-2022 10:41:00,70.2,72.95,69.85,72.1,3000,292900,2022-08-03
NIFTY17900CE,03-08-2022 10:42:00,72.0,75.25,72.0,73.35,6150,292900,2022-08-03
NIFTY17900CE,03-08-2022 10:43:00,73.4,73.6,72.35,72.9,1650,292900,2022-08-03
NIFTY17900CE,03-08-2022 10:44:00,72.8,73.45,72.5,73.45,1950,295350,2022-08-03
NIFTY17900CE,03-08-2022 10:45:00,73.45,73.9,72.2,72.75,3200,295350,2022-08-03
NIFTY17900CE,03-08-2022 10:46:00,72.9,72.9,71.65,71.95,950,295350,2022-08-03
NIFTY17900CE,03-08-2022 10:47:00,72.0,73.0,71.85,72.45,1000,296200,2022-08-03
NIFTY17900CE,03-08-2022 10:48:00,73.5,73.5,72.45,72.45,650,296200,2022-08-03
NIFTY17900CE,03-08-2022 10:49:00,71.95,72.35,71.15,72.0,1750,296200,2022-08-03
NIFTY17900CE,03-08-2022 10:50:00,72.55,72.6,72.35,72.45,650,296400,2022-08-03
NIFTY17900CE,03-08-2022 10:51:00,72.45,73.4,72.45,72.85,2600,296400,2022-08-03
